CUST_ID,SITE_ID
786374766,MLB
194250149,MLB
193240232,MLB
212819416,MLB
484410956,MLB
481904046,MLB
806528406,MLB
203163547,MLB
549575734,MLB
241670540,MLM
242022574,MLM
93419032,MLA
522631657,MLM
520664766,MLM
322072481,MLM
423707565,MLB
313139654,MLM
493818368,MLM
499346505,MLB
86298932,MLB
465286735,MLM
464303858,MLM
462178567,MLC
160545136,MLA
163458347,MCO
33360111,MLB
33762346,MLB
1092177920,MLM
1097309793,MLM
1164635693,MLM
207614226,MCO
1134462387,MLB
553724360,MLB
758169952,MLM
757196322,MLM
752262732,MLM
530150082,MLM
661086405,MLB
15510738,MLM
131815652,MLM
430550803,MLA
1076311282,MLM
769868733,MLM
205354596,MLC
472137543,MLM
268688788,MCO
718866704,MLB
386792997,MLM
381691897,MLM
382017092,MLC
49344924,MLB
303653153,MLB
451329580,MLB
29323101,MLM
232613334,MLB
834886182,MLC
340907712,MLM
659494408,MLM
655117651,MLB
30947848,MLA
30154517,MCO
1036277662,MLM
1121892651,MLB
1194773331,MLM
1194491071,MLB
1105956058,MLM
316610351,MLM
268672861,MLB
739797604,MLB
102573575,MLB
103413405,MLB
438407454,MLB
434115232,MLB
379101646,MLB
293139712,MLB
554827968,MLM
557345816,MLB
459688127,MLM
455397780,MLM
456609307,MLB
81510877,MLA
228285295,MLM
225077242,MLM
227960707,MLM
220436526,MLM
229698219,MLB
177044856,MLB
226500948,MLB
158856822,MLB
155110929,MLB
208115636,MLB
207683286,MLB
207176057,MLB
206384011,MLB
485954959,MLM
89065151,MLM
80301801,MLM
266130162,MLM
585736162,MLM
589217621,MLB
585042962,MLB
60957736,MLB
1023158880,MLB
1022190681,MLB
149579919,MLB
167732418,MLB
270380051,MLB
56901237,MLB
218934638,MLM
514866819,MLM
516310751,MLB
514669560,MLB
196671119,MLB
135321100,MLB
622525531,MLM
623796816,MLM
627524375,MLB
627845619,MLB
71973626,MLC
79249051,MLB
162546921,MLC
45061040,MLB
746326487,MLM
740438327,MLM
741578561,MLC
152046165,MLM
391516152,MLB
393351388,MLB
403219788,MLB
400854011,MLB
576461369,MLB
117650892,MLA
67212702,MLB
256754068,MLC
264939238,MLB
784283776,MLM
193468870,MLB
191507685,MLB
191606361,MLB
483193760,MLB
806149360,MLC
805251655,MLB
203905884,MLB
200540868,MLB
242432476,MLM
92572238,MLB
91973902,MLB
526358170,MLB
183426174,MLA
761632825,MLC
766557603,MLB
329950605,MLM
324834813,MLM
1143091516,MLB
758372332,MLB
750901853,MLB
39905195,MLM
32363405,MLM
607201703,MLM
609242889,MLM
498621214,MLB
169184180,MLA
1111761776,MLB
1002175652,MLC
1004149295,MLB
85263796,MLB
467757918,MLB
5636453,MLA
32728239,MLB
10528396,MLB
259934972,MLM
702921697,MLB
360252757,MLB
291571936,MLB
291721203,MLA
662746146,MLB
120408921,MLA
243229286,MLA
177527431,MCO
107636855,MLA
202615533,MLM
200224757,MLM
477727184,MLM
473991994,MLM
471717562,MLM
820426897,MLM
823763329,MLB
825523970,MLB
262867117,MLA
541462808,MLB
719304931,MLB
717712042,MLB
44176555,MLM
741693328,MLB
251893165,MLB
307881599,MLB
302047974,MLB
418920597,MLM
23838355,MLM
238011307,MLA
836939442,MLM
838475793,MLC
833486584,MLB
273864798,MLA
653199344,MLB
659303655,MLB
361215219,MLM
360138767,MLM
693062142,MLB
569943227,MLB
1036252985,MLM
1133027881,MLM
1103120864,MLC
269800169,MLB
266351516,MLB
798977963,MLB
798653436,MLB
440591558,MLA
840139160,MLB
220686601,MLB
434514690,MLB
641085129,MLM
376312113,MLB
353158281,MLM
358091970,MLB
400350456,MLC
555864126,MLM
565221145,MLB
184448658,MLB
417987201,MLB
414269954,MLB
85353115,MLA
175058897,MLB
228054148,MLB
154761279,MLB
208678115,MLB
615522172,MLC
82982548,MLM
81779063,MLM
80839818,MLM
89852569,MLB
1094103095,MLC
268799413,MLM
150093149,MLB
157986191,MLA
121996258,MLM
584108241,MLM
583356812,MLB
68764008,MLA
114213119,MLM
149088169,MLB
145712643,MLB
146129037,MLB
165836953,MLB
70190453,MLB
272351380,MLB
234790362,MLB
55271363,MLC
53567467,MLB
517790017,MLB
198588660,MLB
131191184,MLM
136285454,MLB
531640060,MLB
621658258,MLM
682048757,MLB
140581705,MLB
140811215,MLB
144517917,MLA
77946197,MLM
239654799,MLM
239497638,MLB
45790119,MCO
173025054,MLM
43257865,MLB
637768661,MLM
729073927,MLB
153425432,MLM
394470555,MLB
394810356,MLB
573742736,MLB
287592687,MLB
578652736,MLM
575303818,MLM
573779717,MLC
63579586,MLM
62448686,MLM
69106685,MLB
172405160,MLB
258177787,MLM
251194076,MLC
189353590,MLM
2170498,MLM
264306390,MLB
260329258,MLB
784883361,MLM
1066070366,MLB
217422406,MLB
214077169,MLB
122329503,MLB
689813014,MLB
92697400,MLB
522201768,MLM
528294858,MLB
525357225,MLB
522587624,MLB
180577265,MLB
765039361,MLB
328276135,MLM
13350750,MLB
38751292,MLC
33378568,MLM
312161197,MLB
493422387,MLM
498078333,MLB
501752088,MLB
1003360221,MLB
83766495,MLB
82318385,MLB
468683285,MLB
464613232,MLB
343169026,MCO
18911123,MLA
1010749931,MLB
306291493,MLM
145925058,MLM
205552326,MLA
373780021,MLB
1085410132,MLB
605821149,MLB
539718566,MLM
712785979,MLB
1023326928,MLM
241435068,MLB
132972329,MLM
581474167,MLB
1072834216,MLB
669837351,MLM
207728240,MLM
475805956,MLM
429661246,MLB
822805404,MLM
825035724,MLC
388216376,MLB
50900916,MLM
352170854,MLB
352578529,MLB
253796673,MLB
305705963,MLB
414935347,MLM
419647150,MLM
27469563,MLM
27199368,MLM
22661724,MLC
397538422,MLM
831288833,MLB
349996055,MLM
273841744,MLM
279777117,MLB
652460862,MLM
655138667,MLB
362411133,MLB
287934001,MLM
695813059,MCO
133634872,MLB
567002099,MLC
567772587,MLC
1125117471,MLM
1107802709,MLM
262544502,MLM
260115280,MLM
269284543,MLB
797070946,MLM
772130428,MLM
776193529,MLB
733362355,MLM
737425689,MLM
735463832,MLB
107701281,MLM
436634900,MLB
436667093,MLB
359548103,MLM
555127384,MLM
613098961,MLB
610773249,MLB
184537592,MLB
451723875,MLM
458370638,MLB
457117100,MLB
456312979,MLB
228548166,MLC
175578002,MLB
157950259,MLB
206553099,MLB
619202402,MLB
616998196,MLB
614725838,MLB
460893229,MLA
483977958,MLM
580370998,MLM
1022431366,MLB
1024989054,MCO
